"scenario_type","observable_behavior","possible_causes","reliability_impact","contradiction_link","recommended_questions","misinterpretation_risk","notes",""
"questioning","avoids eye contact","shyness; cultural norm; discomfort with topic","low","may amplify existing TMP contradictions","Is there any part of this that feels uncomfortable to talk about?","high","Avoid treating eye contact as proof of deception.",""
"timeline_discussion","frequent pauses before answering","reconstructing memory; searching for right words; mild stress","medium","TMP if times already conflict","Take your time — what part feels most certain to you?","medium","Pauses can reflect careful thinking, not dishonesty.",""
"object_discussion","over-detailed description of minor object","anxious over-explaining; trying to be helpful; fixation on safe detail","low","can distract from core CAU contradictions","What about the main event stands out the most to you?","medium","Over-detail may be a coping mechanism, not manipulation.",""
"alibi_statement","repeating the same phrase almost verbatim","rehearsed story; anxiety; advice from others","medium","ALI if logs disagree","Can you describe what you remember just before and after that moment?","medium","Repetition can come from fear of making a mistake.",""
"crowd_scene","changing who they think was present","confused memory; visual overload; sound-based recall","medium","ID contradictions likely","What makes you most sure someone was there or not?","medium","Crowded scenes naturally produce fuzzy presence recollections.",""
"sensory_report","inconsistent color or clothing details","lighting differences; partial views; divided attention","low","ID contradictions if identity disputed","How clearly do you remember seeing that person?","medium","Perception of color is fragile in low or mixed light.",""
"noise_event","confident about hearing words but unsure about direction","echo; overlapping voices; memory blending","medium","CAU if cause of sound disputed","Did the sound feel close, far, or hard to place?","medium","Direction of sound is often misjudged.",""
"confrontation_memory","recalls tone vividly but not exact words","emotional encoding; stress; selective attention","medium","TMP if sequence unclear","Do you remember what was said first or mainly how it felt?","low","Feelings may be more reliable than quoted wording.",""
"formal_interview","overly polite and minimal in answers","fear of saying something wrong; respect for authority","low","may mask deeper contradictions","Is there anything you hesitated to mention earlier?","medium","Politeness can hide uncertainty, not intent.",""
"casual_retelling","adds small new details over time","memory filling gaps; belated recall; narrative smoothing","medium","TMP/CAU if sequence shifts","When did that extra detail come back to you?","medium","New details are not automatically false.",""
"stressful_scene","laughs briefly at serious moment","nervous reaction; stress relief; social mismatch","low","no direct contradiction link","How did you feel in that moment?","high","Inappropriate laughter can be purely nervous.",""
"repeated_questioning","story becomes shorter with each retelling","fatigue; frustration; focus on main points","medium","TMP if key elements vanish","Is there anything you left out because it felt unimportant?","medium","Omission under fatigue is common.",""
"timeline_discussion","speaks quickly when covering a specific segment","heightened anxiety; wanting to pass that part fast","medium","TMP for that segment if already disputed","Could we slow down that part and go step by step?","medium","Speed alone is not a deception marker.",""
"identity_discussion","alternates between 'I' and 'we'","group memory; role uncertainty; shared responsibility","low","ALI/ID if roles matter","When you say 'we', who do you mean exactly?","low","Plural language can reflect group perception, not evasion.",""
"object_handling","avoids mentioning having touched an object","shame about clumsiness; fear of blame; feeling implicated","medium","CAU if object is central","Did you interact with that item at any point, even briefly?","medium","Omission may be self-protective but still factual.",""
"post_event_recall","remembers sequence but not exact times","coarse-grain memory; lack of clock checks","medium","TMP contradictions on specific minutes","What did you use, if anything, to check the time that day?","low","Sequences are often more reliable than timestamps.",""
"social_pressure","echoes another witness’s phrasing","group alignment; deference; desire not to stand out","medium","ID/ALI if stories seem too synchronized","Did you discuss this event with anyone before talking to me?","medium","Echoing can signal social influence, not necessarily collusion.",""
"minor_inconsistency","changes tiny non-critical details","natural memory drift; focus on bigger picture","low","TMP/LOC only if detail is key","Is there any detail you feel uncertain about?","low","Small shifts are expected in honest recall.",""
"fear_of_judgment","downplays own emotional reaction","embarrassment; fear of being seen as overreacting","low","no direct contradiction unless about fear itself","How did the situation affect you personally?","low","Emotional editing doesn't necessarily affect factual core.",""
"question_avoidance","redirects to another topic when asked specific thing","discomfort; trauma; worry about consequences","high","may hide TMP/ALI conflicts","Is there a reason that question is difficult to answer?","high","Avoidance is a strong signal for sensitive areas, but cause is ambiguous.",""
"body_language_1","fidgeting with hands","baseline restlessness; situational stress; discomfort with setting","low","may amplify existing TMP contradictions","Is your body feeling tense right now, or is this normal for you?","high","Visible body tension is easy to misread as guilt rather than stress.",""
"body_language_2","crossing arms tightly","baseline restlessness; situational stress; discomfort with setting","low","may amplify existing TMP contradictions","Is your body feeling tense right now, or is this normal for you?","high","Visible body tension is easy to misread as guilt rather than stress.",""
"body_language_3","frequent leg bouncing","baseline restlessness; situational stress; discomfort with setting","medium","may amplify existing TMP contradictions","Is your body feeling tense right now, or is this normal for you?","high","Visible body tension is easy to misread as guilt rather than stress.",""
"body_language_4","rigid upright posture","baseline restlessness; situational stress; discomfort with setting","medium","may amplify existing TMP contradictions","Is your body feeling tense right now, or is this normal for you?","high","Visible body tension is easy to misread as guilt rather than stress.",""
"body_language_5","touching face repeatedly","baseline restlessness; situational stress; discomfort with setting","medium","may amplify existing TMP contradictions","Is your body feeling tense right now, or is this normal for you?","high","Visible body tension is easy to misread as guilt rather than stress.",""
"body_language_6","avoiding turning their body toward you","baseline restlessness; situational stress; discomfort with setting","medium","may amplify existing TMP contradictions","Is your body feeling tense right now, or is this normal for you?","high","Visible body tension is easy to misread as guilt rather than stress.",""
"body_language_7","shrugging one shoulder more than the other","baseline restlessness; situational stress; discomfort with setting","medium","may amplify existing TMP contradictions","Is your body feeling tense right now, or is this normal for you?","high","Visible body tension is easy to misread as guilt rather than stress.",""
"body_language_8","frequent shifting in the chair","baseline restlessness; situational stress; discomfort with setting","low","may amplify existing TMP contradictions","Is your body feeling tense right now, or is this normal for you?","high","Visible body tension is easy to misread as guilt rather than stress.",""
"body_language_9","clenching jaw visibly","baseline restlessness; situational stress; discomfort with setting","medium","may amplify existing TMP contradictions","Is your body feeling tense right now, or is this normal for you?","high","Visible body tension is easy to misread as guilt rather than stress.",""
"body_language_10","gripping the edge of the table","baseline restlessness; situational stress; discomfort with setting","medium","may amplify existing TMP contradictions","Is your body feeling tense right now, or is this normal for you?","high","Visible body tension is easy to misread as guilt rather than stress.",""
"voice_tone_1","voice suddenly drops much quieter on certain topics","anxiety; emotional strain; habit from other formal settings","medium","TMP if tone shifts align with disputed segments","Have you noticed your voice changing when we reach this part of the story?","medium","Tone shifts often reflect emotion rather than fabrication.",""
"voice_tone_2","voice becomes unusually loud when denying something","anxiety; emotional strain; habit from other formal settings","medium","TMP if tone shifts align with disputed segments","Have you noticed your voice changing when we reach this part of the story?","medium","Tone shifts often reflect emotion rather than fabrication.",""
"voice_tone_3","speaks in a flat monotone during key moments","anxiety; emotional strain; habit from other formal settings","medium","TMP if tone shifts align with disputed segments","Have you noticed your voice changing when we reach this part of the story?","medium","Tone shifts often reflect emotion rather than fabrication.",""
"voice_tone_4","voice cracks when describing a specific person","anxiety; emotional strain; habit from other formal settings","medium","TMP if tone shifts align with disputed segments","Have you noticed your voice changing when we reach this part of the story?","medium","Tone shifts often reflect emotion rather than fabrication.",""
"voice_tone_5","lets out a long sigh before answering","anxiety; emotional strain; habit from other formal settings","medium","TMP if tone shifts align with disputed segments","Have you noticed your voice changing when we reach this part of the story?","medium","Tone shifts often reflect emotion rather than fabrication.",""
"voice_tone_6","clears throat repeatedly before key answers","anxiety; emotional strain; habit from other formal settings","medium","TMP if tone shifts align with disputed segments","Have you noticed your voice changing when we reach this part of the story?","medium","Tone shifts often reflect emotion rather than fabrication.",""
"voice_tone_7","laughs softly at the end of serious sentences","anxiety; emotional strain; habit from other formal settings","medium","TMP if tone shifts align with disputed segments","Have you noticed your voice changing when we reach this part of the story?","medium","Tone shifts often reflect emotion rather than fabrication.",""
"voice_tone_8","switches to a whisper when naming someone","anxiety; emotional strain; habit from other formal settings","medium","TMP if tone shifts align with disputed segments","Have you noticed your voice changing when we reach this part of the story?","medium","Tone shifts often reflect emotion rather than fabrication.",""
"voice_tone_9","emphasizes certain words more than others","anxiety; emotional strain; habit from other formal settings","medium","TMP if tone shifts align with disputed segments","Have you noticed your voice changing when we reach this part of the story?","medium","Tone shifts often reflect emotion rather than fabrication.",""
"voice_tone_10","speaks in a higher pitch than earlier in the talk","anxiety; emotional strain; habit from other formal settings","medium","TMP if tone shifts align with disputed segments","Have you noticed your voice changing when we reach this part of the story?","medium","Tone shifts often reflect emotion rather than fabrication.",""
"uncertainty_language_1","repeatedly uses phrases like 'I think' or 'maybe'","low confidence in memory; fear of being wrong; perfectionism","medium","TMP if only key disputed facts are heavily hedged","Which parts feel clear to you, even if others feel uncertain?","medium","Hedging language can signal honesty about doubt, not deceit.",""
"uncertainty_language_2","avoids strong statements","preferring 'sort of' or 'kind of'","low confidence in memory; fear of being wrong; perfectionism","medium","TMP if only key disputed facts are heavily hedged","Which parts feel clear to you, even if others feel uncertain?","medium","Hedging language can signal honesty about doubt, not deceit."
"uncertainty_language_3","often starts sentences with 'if I remember right'","low confidence in memory; fear of being wrong; perfectionism","medium","TMP if only key disputed facts are heavily hedged","Which parts feel clear to you, even if others feel uncertain?","medium","Hedging language can signal honesty about doubt, not deceit.",""
"uncertainty_language_4","switches mid-sentence from certainty to uncertainty","low confidence in memory; fear of being wrong; perfectionism","medium","TMP if only key disputed facts are heavily hedged","Which parts feel clear to you, even if others feel uncertain?","medium","Hedging language can signal honesty about doubt, not deceit.",""
"uncertainty_language_5","frequently corrects small wording choices","low confidence in memory; fear of being wrong; perfectionism","medium","TMP if only key disputed facts are heavily hedged","Which parts feel clear to you, even if others feel uncertain?","medium","Hedging language can signal honesty about doubt, not deceit.",""
"uncertainty_language_6","adds softeners like 'I could be wrong' after details","low confidence in memory; fear of being wrong; perfectionism","medium","TMP if only key disputed facts are heavily hedged","Which parts feel clear to you, even if others feel uncertain?","medium","Hedging language can signal honesty about doubt, not deceit.",""
"uncertainty_language_7","pauses to rephrase simple descriptions","low confidence in memory; fear of being wrong; perfectionism","medium","TMP if only key disputed facts are heavily hedged","Which parts feel clear to you, even if others feel uncertain?","medium","Hedging language can signal honesty about doubt, not deceit.",""
"uncertainty_language_8","asks 'does that make sense?' after recounting events","low confidence in memory; fear of being wrong; perfectionism","medium","TMP if only key disputed facts are heavily hedged","Which parts feel clear to you, even if others feel uncertain?","medium","Hedging language can signal honesty about doubt, not deceit.",""
"uncertainty_language_9","restarts the same sentence several times","low confidence in memory; fear of being wrong; perfectionism","medium","TMP if only key disputed facts are heavily hedged","Which parts feel clear to you, even if others feel uncertain?","medium","Hedging language can signal honesty about doubt, not deceit.",""
"uncertainty_language_10","trails off instead of finishing certain statements","low confidence in memory; fear of being wrong; perfectionism","medium","TMP if only key disputed facts are heavily hedged","Which parts feel clear to you, even if others feel uncertain?","medium","Hedging language can signal honesty about doubt, not deceit.",""
"memory_gap_1","describes a clear start and end but leaves a blank in the middle","stress-related encoding gaps; distraction; ordinary forgetting","medium","TMP if missing segment overlaps with disputed moment","What is the last thing you remember clearly before that gap?","medium","Gaps can be natural even in sincere accounts, especially under stress.",""
"memory_gap_2","cannot recall how they moved from one place to another","stress-related encoding gaps; distraction; ordinary forgetting","medium","TMP if missing segment overlaps with disputed moment","What is the last thing you remember clearly before that gap?","medium","Gaps can be natural even in sincere accounts, especially under stress.",""
"memory_gap_3","remembers images but not the order they occurred in","stress-related encoding gaps; distraction; ordinary forgetting","medium","TMP if missing segment overlaps with disputed moment","What is the last thing you remember clearly before that gap?","medium","Gaps can be natural even in sincere accounts, especially under stress.",""
"memory_gap_4","remembers conversations but not where they were standing","stress-related encoding gaps; distraction; ordinary forgetting","medium","TMP if missing segment overlaps with disputed moment","What is the last thing you remember clearly before that gap?","medium","Gaps can be natural even in sincere accounts, especially under stress.",""
"memory_gap_5","recalls background sounds but not the faces present","stress-related encoding gaps; distraction; ordinary forgetting","medium","TMP if missing segment overlaps with disputed moment","What is the last thing you remember clearly before that gap?","medium","Gaps can be natural even in sincere accounts, especially under stress.",""
"memory_gap_6","remembers a strong smell but not the exact time","stress-related encoding gaps; distraction; ordinary forgetting","medium","TMP if missing segment overlaps with disputed moment","What is the last thing you remember clearly before that gap?","medium","Gaps can be natural even in sincere accounts, especially under stress.",""
"memory_gap_7","has no memory of a short but important interval","stress-related encoding gaps; distraction; ordinary forgetting","medium","TMP if missing segment overlaps with disputed moment","What is the last thing you remember clearly before that gap?","medium","Gaps can be natural even in sincere accounts, especially under stress.",""
"memory_gap_8","skips over a brief period unless specifically prompted","stress-related encoding gaps; distraction; ordinary forgetting","medium","TMP if missing segment overlaps with disputed moment","What is the last thing you remember clearly before that gap?","medium","Gaps can be natural even in sincere accounts, especially under stress.",""
"memory_gap_9","mixes two short episodes into one sequence","stress-related encoding gaps; distraction; ordinary forgetting","medium","TMP if missing segment overlaps with disputed moment","What is the last thing you remember clearly before that gap?","medium","Gaps can be natural even in sincere accounts, especially under stress.",""
"memory_gap_10","confuses whether something happened that day or earlier","stress-related encoding gaps; distraction; ordinary forgetting","medium","TMP if missing segment overlaps with disputed moment","What is the last thing you remember clearly before that gap?","medium","Gaps can be natural even in sincere accounts, especially under stress.",""
"overconfidence_1","insists they are '100 percent sure' about many small details","personality trait; defensive posture; desire to be helpful","high","TMP/ID if certainty clashes with external records","How would you feel if later information showed a detail was different?","medium","Strong certainty can feel reassuring but is not proof of accuracy.",""
"overconfidence_2","corrects others' recollections confidently without hesitation","personality trait; defensive posture; desire to be helpful","medium","TMP/ID if certainty clashes with external records","How would you feel if later information showed a detail was different?","medium","Strong certainty can feel reassuring but is not proof of accuracy.",""
"overconfidence_3","rejects any suggestion their memory could be incomplete","personality trait; defensive posture; desire to be helpful","medium","TMP/ID if certainty clashes with external records","How would you feel if later information showed a detail was different?","medium","Strong certainty can feel reassuring but is not proof of accuracy.",""
"overconfidence_4","claims to remember exact wording from long conversations","personality trait; defensive posture; desire to be helpful","high","TMP/ID if certainty clashes with external records","How would you feel if later information showed a detail was different?","medium","Strong certainty can feel reassuring but is not proof of accuracy.",""
"overconfidence_5","provides precise times without mentioning how they know them","personality trait; defensive posture; desire to be helpful","high","TMP/ID if certainty clashes with external records","How would you feel if later information showed a detail was different?","medium","Strong certainty can feel reassuring but is not proof of accuracy.",""
"overconfidence_6","asserts perfect recall of faces in a chaotic scene","personality trait; defensive posture; desire to be helpful","medium","TMP/ID if certainty clashes with external records","How would you feel if later information showed a detail was different?","medium","Strong certainty can feel reassuring but is not proof of accuracy.",""
"overconfidence_7","states that their version 'cannot be wrong'","personality trait; defensive posture; desire to be helpful","high","TMP/ID if certainty clashes with external records","How would you feel if later information showed a detail was different?","medium","Strong certainty can feel reassuring but is not proof of accuracy.",""
"overconfidence_8","gets irritated when asked to consider other possibilities","personality trait; defensive posture; desire to be helpful","medium","TMP/ID if certainty clashes with external records","How would you feel if later information showed a detail was different?","medium","Strong certainty can feel reassuring but is not proof of accuracy.",""
"overconfidence_9","dismisses their own earlier uncertainties","personality trait; defensive posture; desire to be helpful","medium","TMP/ID if certainty clashes with external records","How would you feel if later information showed a detail was different?","medium","Strong certainty can feel reassuring but is not proof of accuracy.",""
"overconfidence_10","insists they noticed everything happening around them","personality trait; defensive posture; desire to be helpful","medium","TMP/ID if certainty clashes with external records","How would you feel if later information showed a detail was different?","medium","Strong certainty can feel reassuring but is not proof of accuracy.",""
"emotion_mismatch_1","remains very calm while describing frightening events","coping style; shock; delayed emotional processing","medium","no direct contradiction link","What part of this experience has stayed with you the most emotionally?","high","Emotional tone often reflects coping, not truthfulness.",""
"emotion_mismatch_2","becomes tearful when talking about a minor detail","coping style; shock; delayed emotional processing","medium","no direct contradiction link","What part of this experience has stayed with you the most emotionally?","high","Emotional tone often reflects coping, not truthfulness.",""
"emotion_mismatch_3","jokes frequently during a serious narrative","coping style; shock; delayed emotional processing","medium","no direct contradiction link","What part of this experience has stayed with you the most emotionally?","high","Emotional tone often reflects coping, not truthfulness.",""
"emotion_mismatch_4","shows anger mainly when small things are questioned","coping style; shock; delayed emotional processing","medium","no direct contradiction link","What part of this experience has stayed with you the most emotionally?","high","Emotional tone often reflects coping, not truthfulness.",""
"emotion_mismatch_5","seems detached when describing harm to themselves","coping style; shock; delayed emotional processing","medium","no direct contradiction link","What part of this experience has stayed with you the most emotionally?","high","Emotional tone often reflects coping, not truthfulness.",""
"emotion_mismatch_6","shows more emotion about being disbelieved than about event itself","coping style; shock; delayed emotional processing","medium","no direct contradiction link","What part of this experience has stayed with you the most emotionally?","high","Emotional tone often reflects coping, not truthfulness.",""
"emotion_mismatch_7","appears relieved when discussing the worst moment","coping style; shock; delayed emotional processing","medium","no direct contradiction link","What part of this experience has stayed with you the most emotionally?","high","Emotional tone often reflects coping, not truthfulness.",""
"emotion_mismatch_8","suddenly becomes flat after previously animated storytelling","coping style; shock; delayed emotional processing","medium","no direct contradiction link","What part of this experience has stayed with you the most emotionally?","high","Emotional tone often reflects coping, not truthfulness.",""
"emotion_mismatch_9","shows strong emotion only when a specific person is mentioned","coping style; shock; delayed emotional processing","medium","no direct contradiction link","What part of this experience has stayed with you the most emotionally?","high","Emotional tone often reflects coping, not truthfulness.",""
"emotion_mismatch_10","laughs when describing their own fear","coping style; shock; delayed emotional processing","medium","no direct contradiction link","What part of this experience has stayed with you the most emotionally?","high","Emotional tone often reflects coping, not truthfulness.",""
"interviewer_reactive_1","frequently checks interviewer’s reactions before continuing","desire to please; fear of conflict; high social sensitivity","medium","may mask deeper contradictions","Is anything about this conversation making it harder to speak freely?","medium","Witnesses often adapt to interviewer cues without intending to mislead.",""
"interviewer_reactive_2","changes story slightly after seeing interviewer’s facial expression","desire to please; fear of conflict; high social sensitivity","medium","may mask deeper contradictions","Is anything about this conversation making it harder to speak freely?","medium","Witnesses often adapt to interviewer cues without intending to mislead.",""
"interviewer_reactive_3","speeds up when sensing impatience","desire to please; fear of conflict; high social sensitivity","medium","may mask deeper contradictions","Is anything about this conversation making it harder to speak freely?","medium","Witnesses often adapt to interviewer cues without intending to mislead.",""
"interviewer_reactive_4","slows down when interviewer looks confused","desire to please; fear of conflict; high social sensitivity","medium","may mask deeper contradictions","Is anything about this conversation making it harder to speak freely?","medium","Witnesses often adapt to interviewer cues without intending to mislead.",""
"interviewer_reactive_5","backs away from details after they are challenged","desire to please; fear of conflict; high social sensitivity","medium","may mask deeper contradictions","Is anything about this conversation making it harder to speak freely?","medium","Witnesses often adapt to interviewer cues without intending to mislead.",""
"interviewer_reactive_6","starts giving shorter answers after being interrupted","desire to please; fear of conflict; high social sensitivity","medium","may mask deeper contradictions","Is anything about this conversation making it harder to speak freely?","medium","Witnesses often adapt to interviewer cues without intending to mislead.",""
"interviewer_reactive_7","gives more detail when interviewer nods frequently","desire to please; fear of conflict; high social sensitivity","medium","may mask deeper contradictions","Is anything about this conversation making it harder to speak freely?","medium","Witnesses often adapt to interviewer cues without intending to mislead.",""
"interviewer_reactive_8","asks for reassurance they are 'doing this right'","desire to please; fear of conflict; high social sensitivity","medium","may mask deeper contradictions","Is anything about this conversation making it harder to speak freely?","medium","Witnesses often adapt to interviewer cues without intending to mislead.",""
"interviewer_reactive_9","seems to match their language to the interviewer’s words","desire to please; fear of conflict; high social sensitivity","medium","may mask deeper contradictions","Is anything about this conversation making it harder to speak freely?","medium","Witnesses often adapt to interviewer cues without intending to mislead.",""
"interviewer_reactive_10","waits for the interviewer to fill in gaps","desire to please; fear of conflict; high social sensitivity","medium","may mask deeper contradictions","Is anything about this conversation making it harder to speak freely?","medium","Witnesses often adapt to interviewer cues without intending to mislead.",""
"post_event_influence_1","mentions talking about the event repeatedly with friends","memory contamination; social alignment; search for meaning","medium","TMP/ID if story now aligns more with others than first account","How, if at all, have other people’s views changed how you remember this?","medium","Later discussions can reshape memory without deliberate coordination.",""
"post_event_influence_2","says they rehearsed what to say with a family member","memory contamination; social alignment; search for meaning","medium","TMP/ID if story now aligns more with others than first account","How, if at all, have other people’s views changed how you remember this?","medium","Later discussions can reshape memory without deliberate coordination.",""
"post_event_influence_3","admits they and another witness tried to 'get the story straight'","memory contamination; social alignment; search for meaning","medium","TMP/ID if story now aligns more with others than first account","How, if at all, have other people’s views changed how you remember this?","medium","Later discussions can reshape memory without deliberate coordination.",""
"post_event_influence_4","notes they watched news coverage of the event afterward","memory contamination; social alignment; search for meaning","medium","TMP/ID if story now aligns more with others than first account","How, if at all, have other people’s views changed how you remember this?","medium","Later discussions can reshape memory without deliberate coordination.",""
"post_event_influence_5","read online comments about what supposedly happened","memory contamination; social alignment; search for meaning","medium","TMP/ID if story now aligns more with others than first account","How, if at all, have other people’s views changed how you remember this?","medium","Later discussions can reshape memory without deliberate coordination.",""
"post_event_influence_6","heard other people's versions before giving their own","memory contamination; social alignment; search for meaning","medium","TMP/ID if story now aligns more with others than first account","How, if at all, have other people’s views changed how you remember this?","medium","Later discussions can reshape memory without deliberate coordination.",""
"post_event_influence_7","tried to avoid thinking about the event for a long time","memory contamination; social alignment; search for meaning","medium","TMP/ID if story now aligns more with others than first account","How, if at all, have other people’s views changed how you remember this?","medium","Later discussions can reshape memory without deliberate coordination.",""
"post_event_influence_8","told the story in a joking way before reporting it formally","memory contamination; social alignment; search for meaning","medium","TMP/ID if story now aligns more with others than first account","How, if at all, have other people’s views changed how you remember this?","medium","Later discussions can reshape memory without deliberate coordination.",""
"post_event_influence_9","posted about the event on social media soon after","memory contamination; social alignment; search for meaning","medium","TMP/ID if story now aligns more with others than first account","How, if at all, have other people’s views changed how you remember this?","medium","Later discussions can reshape memory without deliberate coordination.",""
"post_event_influence_10","received advice from someone about what details matter","memory contamination; social alignment; search for meaning","medium","TMP/ID if story now aligns more with others than first account","How, if at all, have other people’s views changed how you remember this?","medium","Later discussions can reshape memory without deliberate coordination.",""
"sensory_focus_1","focuses intensely on a single sound and ignores visual details","narrow attentional window; stress; personal sensitivity","medium","CAU if cause or source of sensation is disputed","While you noticed that sensation strongly, what else do you recall around it?","medium","Strong sensory impressions can crowd out other details without implying deceit.",""
"sensory_focus_2","remembers a specific smell but not the people present","narrow attentional window; stress; personal sensitivity","medium","CAU if cause or source of sensation is disputed","While you noticed that sensation strongly, what else do you recall around it?","medium","Strong sensory impressions can crowd out other details without implying deceit.",""
"sensory_focus_3","recalls the feel of an object more than how it looked","narrow attentional window; stress; personal sensitivity","medium","CAU if cause or source of sensation is disputed","While you noticed that sensation strongly, what else do you recall around it?","medium","Strong sensory impressions can crowd out other details without implying deceit.",""
"sensory_focus_4","describes temperature in detail but not the room layout","narrow attentional window; stress; personal sensitivity","medium","CAU if cause or source of sensation is disputed","While you noticed that sensation strongly, what else do you recall around it?","medium","Strong sensory impressions can crowd out other details without implying deceit.",""
"sensory_focus_5","remembers the color of walls but not where doors were","narrow attentional window; stress; personal sensitivity","medium","CAU if cause or source of sensation is disputed","While you noticed that sensation strongly, what else do you recall around it?","medium","Strong sensory impressions can crowd out other details without implying deceit.",""
"sensory_focus_6","recalls the weight of an object but not how long they held it","narrow attentional window; stress; personal sensitivity","medium","CAU if cause or source of sensation is disputed","While you noticed that sensation strongly, what else do you recall around it?","medium","Strong sensory impressions can crowd out other details without implying deceit.",""
