case_archetype,setup,key_events,hinge_clue,contradiction_type,red_herring,resolution_pattern,explanation,hypothesis_slots,difficulty
theft,An item disappears during a busy gathering,arrival; item missing; conflicting statements,A timestamped photo showing the item still present,TMP,a guest acting nervous,misplaced item,The item was never stolen; it was moved earlier without notice,H1: accidental misplacement; H2: intentional theft; H3: misunderstanding,low
misdirection,A loud noise causes confusion in a quiet hall,noise; witness panic; door movement,The noise came from a dropped object,CAU,a broken window unrelated to the event,false assumption,The noise was unrelated; attention shifted away from real cause,H1: break-in attempt; H2: unrelated accident; H3: mechanical fault,medium
identity_confusion,Two people wearing similar coats cross paths,coat swap; mistaken sighting; conflicting witness,A witness describes a detail only one person had,ID,muddy footprints leading wrong direction,misidentification,Confusion arose due to coat similarity,H1: mistaken identity; H2: intentional disguise; H3: witness memory distortion,medium
timeline_gap,Someone claims to be away during an incident,alibi claimed; event occurs; log inconsistency,A log entry shows their access earlier than remembered,TMP,a misplaced keycard,memory error,The alibi remains partly valid with timing drift,H1: lying; H2: memory drift; H3: incorrect system timestamp,medium
misunderstanding,A bag taken by the wrong person accidentally,bag switch; realization; report,The two bags are identical except for a small tag,ID,an unrelated stranger walking fast,benign mixup,No crime occurred; mistaken property pickup,H1: theft; H2: confusion; H3: intentional trick,low
lost_item,A ring goes missing after a dimly lit dinner,lights flicker; item disappears; guests move about,A chair cushion indentation indicating it slipped inside,TMP,a jealous relative,simple loss,The ring fell through the chair due to movement,H1: petty theft; H2: accidental fall; H3: intentional hiding,low
false_alarm,An alarm sounds during a calm meeting,alarm; confusion; rushed evacuation,A maintenance note that the detector was malfunctioning,CAU,smoke smell from kitchen,technical fault,The alarm was triggered by a sensor glitch,H1: real hazard; H2: prank; H3: system defect,low
fabricated_alibi,Someone insists they never left their seat,conversation; temporary blackout; object moved,A blurry reflection showing them standing,TMP,a lookalike in the crowd,partial deception,They stood briefly without being noticed,H1: deliberate lie; H2: mistaken reflection; H3: memory distortion,medium
object_switch,Two similar briefcases cause confusion,crowd disperses; briefcases moved; owner complains,A small scratch marking the genuine one,ID,a rushing courier,swap clarified,Wrong case picked in haste,H1: theft; H2: accidental switch; H3: staged misdirection,low
noise_confusion,A loud thud interrupts a quiet archive room,thud; footsteps; a shelf shifts,A fallen heavy book seen in security footage,CAU,a suspicious shadow near doorway,mundane cause,Noise was caused by falling object not intruder,H1: break-in; H2: accidental fall; H3: staged sound,medium
misplaced_docs,Important papers vanish during a team briefing,handoff; papers missing; stressed witnesses,A draft copy found in the wrong folder,TMP,a coworker leaving abruptly,clerical slip,Papers were misfiled under pressure,H1: sabotage; H2: misplacement; H3: concealment attempt,low
shadow_misread,A figure is seen near storage at night,shadow movement; guard startled; lock intact,Lighting pattern showing shadow was from a swinging sign,CAU,footprints from earlier rain,optical illusion,Nothing happened; the shadow was misinterpreted,H1: trespasser; H2: illusion; H3: animal movement,low
coincidence_overlap,Two events seem connected but are not,package arrives; power flickers; suspect runs,Delivery timestamp unrelated to power logs,CAU,a nervous intern dropping files,coincidental,Two unrelated events caused apparent pattern,H1: sabotage; H2: coincidence; H3: staged event,medium
double_claim,Two people claim ownership of the same umbrella,rainstorm; crowded entrance; mix-up,A name faintly written on the umbrella's inner tag,ID,a third person using similar model,ownership clarified,One claim matches the physical identifier,H1: theft; H2: mix-up; H3: opportunistic claim,low
time_misread,Someone claims a meeting ended earlier than logs show,discussion; departure; log discrepancy,A wall clock running several minutes slow,TMP,confusing hallway chatter,perception drift,Person relied on faulty clock causing wrong recollection,H1: lie; H2: memory drift; H3: incorrect instrumentation,medium
object_misread,A figure holding a “weapon” is seen near lockers,shouting; panic; guard intervention,The object is a folded tripod,ID,a dented locker door,innocent misread,The figure was carrying equipment,not a weapon,H1: armed threat; H2: filming gear; H3: mistaken shape
false_route,A suspect is seen heading toward the exit,camera blur; footsteps; door sensor,A time-stamped cleaning robot log proves door never opened,TMP,a coat found near exit,incorrect assumption,The movement was misattributed; robot triggered sensor,H1: escape attempt; H2: robot; H3: camera artifact,medium
coat_confusion,A group hangs identical jackets at a venue,crowd exit; missing jacket; raised voices,A pocket receipt identifying one owner,ID,a torn sleeve jacket on the floor,mix-up resolved,Wrong jacket taken due to similarity,H1: theft; H2: mix-up; H3: opportunistic grab,low
sound_overlap,Two loud sounds occur minutes apart,bang; echo; startled witnesses,Acoustic analysis shows first sound was a dropped tray,CAU,a cracked window frame,mundane cause,Only one sound was suspicious; the other was accidental,H1: forced entry; H2: accident; H3: staged noise,medium
timer_error,A suspect says they left before an alarm,alarm; evacuation; conflicting recollections,A smartwatch showing wrong timezone,TMP,a misplaced backpack,misremembrance,They relied on wrong clock setting causing confusion,H1: lie; H2: tech error; H3: misinterpretation,low
bag_shadow,A security guard sees a “bulky package” under a table,sudden alarm; bag search; crowd panic,Shadow analysis shows the light caused distortion,ID,a torn paper bag nearby,visual distortion,Shadow created illusion of a large package,H1: hidden item; H2: optical trick; H3: forgotten bag,low
fabricated_noise,A metal clank suggests a fall in warehouse,clank; hurried footsteps; dust shift,A loose ventilation grate explains the sound,CAU,a spilled set of nails,unexpected cause,Noise came from vibrating ductwork,H1: intruder; H2: structural noise; H3: falling tools,medium
item_switch,Two similar laptops brought to café,closing time; bag mix-up; dispute starts,Sticker residue unique to one laptop,ID,a stranger with a similar brand,identification match,Laptops accidentally swapped when packing,H1: theft; H2: mix-up; H3: deliberate switch,low
trail_mislead,Footprints lead away from storage,door ajar; footprints; missing envelope,Weather logs show rain started after event,CAU,a dog seen wandering earlier,footprint mismatch,Footprints unrelated; made after incident,H1: thief escaped; H2: unrelated passer; H3: staged tracks,medium
glare_confusion,Someone claims to see a figure through glass,glint; silhouette; rushing sound,Reflection pattern matches overhead lights,ID,a curtain fluttering,illusion resolved,Reflections formed human-like silhouette,H1: intruder; H2: light reflection; H3: passing staff,low
message_mixup,A text message suggests guilt,argument; screenshot; confrontation,System shows message came from group chat,CAU,a deleted notification,communication error,Message interpreted incorrectly out of context,H1: confession; H2: wrong sender; H3: spoofed message,medium
noise_chain,Series of clacks mistaken for coded signals,clacking; hushed whispers; guard alerted,Pipes contracting from temperature shift,CAU,a loose ladder,natural cause,Building contraction noises misinterpreted,H1: secret communication; H2: pipe noise; H3: staged signals,low
alibi_overlap,Two suspects claim identical movements,matching story; timeline check; CCTV review,One suspect seen taking a slower route,TMP,a busker blocking walkway,partial overlap,They followed similar paths but at different times,H1: coordinated cover; H2: coincidence; H3: memory drift,medium
object_glint,A flash seen near restricted area,flash; guard reaction; search begins,Reflection from dropped keychain,ID,a work light left on,non-issue,Light hit metal keychain at angle causing flash,H1: signaling; H2: accidental reflection; H3: hidden device,low
misheard,A phrase overheard suggests a threat,whisper; misquote; panic,Audio replay shows phrase was mundane,CAU,a static burst,benign misunderstanding,People misheard due to echo and noise,H1: threat; H2: joke; H3: unrelated phrase,low
distraction_chain,Someone causes a commotion as item goes missing,shouting; turning heads; missing item,Camera shows item dropped earlier,TMP,a spilled drink,misattributed cause,Distraction unrelated to missing item,H1: coordinated theft; H2: unrelated chaos; H3: accident,medium
mirror_confusion,A figure appears duplicated on footage,double image; security concern; analysis,Camera vibrated creating ghosting effect,ID,a second shadow on wall,equipment artifact,Footage distortion caused double appearance,H1: two people; H2: one person; H3: glitch,medium
double_noise,Two knocks heard suggest coded signal,knocks; pause; movement,Air vent flap hitting frame,CAU,a broom falling later,structural cause,Wind caused rhythmic vent tapping,H1: secret message; H2: wind; H3: animal,low
path_confusion,A suspect seems to enter forbidden area,door movement; rustle; missing padlock,Door logs show it auto-swung from draft,TMP,a misplaced glove,non-entry,Door moved but no one entered,H1: forced entry; H2: draft; H3: unseen intruder,medium
shared_item,Two people claim same water bottle,meeting ends; bottle dispute; security called,One bottle's cap scratched uniquely,ID,a vendor handing freebies,ownership clarified,The scarred cap matches one claimant,H1: theft; H2: identical items; H3: opportunistic claim,low
lighting_error,Person claims hallway was dark,argument; review footage; contradiction emerges,Footage shows lights on but flickering,TMP,a faulty bulb found,memory drift,Flickering caused false impression of darkness,H1: lie; H2: memory drift; H3: bulb failure,low
sound_stretch,A creak misinterpreted as footsteps,creak; pause; alerted guard,A broken wooden plank causing flex,CAU,a stray cat spotted,environmental cause,Structure settling sounded like steps,H1: trespasser; H2: plank noise; H3: animal,low
identity_overlap,Two identical hats cause confusion,hat loss; mistaken wearer; dispute,Hat lining pattern marks real owner,ID,a tourist rushing,resolved confusion,Hat was swapped unintentionally,H1: theft; H2: mix-up; H3: misdirection,low
object_illusion,A long shadow looks like a person,shadow; loud wind; eerie movement,A dangling banner causing elongated silhouette,ID,a squeaking signboard,optical trick,Wind stretched banner shadow,H1: intruder; H2: banner; H3: animal,low
startup_noise,A machine hum misread as tampering,hum; vibration; panic,Startup log showing automatic cycle,CAU,a worker dropping wrench,routine cycle,Machine auto-start created noise,H1: sabotage; H2: routine cycle; H3: malfunction,low
clutter_confusion,Box seems missing in warehouse,inventory check; misaligned stacks; alert,Footprint pattern shows no movement,TMP,a forklift beep,simple misplacement,Box placed behind taller stack,H1: theft; H2: misplacement; H3: miscount,medium
vision_error,A witness claims someone crawled under tables,rustle; panic; hurried voices,Security shows a rolling bottle,ID,a crumpled tablecloth,false sighting,Rolling bottle created illusion of movement,H1: intruder; H2: object; H3: animal,low
double_claim,A scarf claimed by two coworkers,argument; lost-and-found; hallway search,Initials lightly embroidered on tag,ID,another scarf of same color,ownership clarified,Embroidery matches actual owner,H1: theft; H2: mix-up; H3: opportunistic claim,low
moving_light,A light dot moves across room,dot flicker; startled group; search begins,Reflection from rotating fan blades,ID,a knocked-over lamp,optical effect,Fan rotation reflected light unpredictably,H1: signaling; H2: reflection; H3: device glitch,low
noise_cluster,A cluster of noises sparks suspicion,bangs; echoes; moving boxes,A loose ceiling tile hitting vents,CAU,an open window,environmental cause,Bad tile created multiple noises,H1: intruder; H2: tile; H3: animal,medium
bag_collapse,A bag collapses suddenly causing panic,collapse; crunch sound; scattered items,Internal stitch failure,CAU,a passerby bumping table,accidental failure,The bag broke due to worn stitching,H1: tampering; H2: breakage; H3: mishandling,low
item_drop,A shiny object seen flying,glint; gasp; thud,An earring found on floor,ID,a metal spoon thrown accidentally,mundane explanation,Earring slipped from someone’s hand,H1: weapon thrown; H2: jewelry; H3: sabotage,low
blocked_view,A witness claims someone ducked behind shelf,ducking; whisper; dust shift,Angle shows shelf blocks entire view,TMP,a fallen notebook,perception error,Witness misinterpreted movement due to blind spot,H1: evasion; H2: misperception; H3: animal,medium
photo_confusion,A blurry photo suggests a suspicious object,photo shown; zoom debate; analysis,Metadata shows photo taken earlier,TMP,a cleaning rag,timing mismatch,Photo unrelated to event timeline,H1: evidence; H2: old photo; H3: misfile,medium
object_knock,Something knocks over during meeting,bang; startled audience; chair skid,Draft from AC vent,CAU,a spilled drink,environmental force,A gust toppled the object,H1: sabotage; H2: draft; H3: vibration,low
switcheroo,Two identical notebooks swapped,closing session; notes confusion; mild panic,Indentations match one owner’s handwriting,ID,a torn page found,resolved mix-up,Owner recognized by imprint pattern,H1: theft; H2: mix-up; H3: info grab,low
mistimed_event,A person claims event happened earlier,argument; payroll check; review,Clock-in system delayed by syncing issue,TMP,a wrong hallway sign,system drift,System recorded action late,H1: lie; H2: sync error; H3: misread sign,medium
glitch_shadow,A shadow moves unexpectedly,motion alert; dark corner; tension rises,Infrared sensor logs show glitch,CAU,a fallen cloth,sensor fault,Faulty IR reading created false shadow event,H1: prowler; H2: glitch; H3: staff,low
false_dual,A witness sees “two people” running,blur; footsteps; conflicting accounts,Footage reveals one runner with long coat,ID,a bicycle leaning oddly,visual misread,Coat flare created illusion of two figures,H1: duo; H2: single; H3: trick,medium
mixed_sounds,A clatter suggests breakage,clatter; gasp; scramble,A falling stack of trays explains sound,CAU,a cracked mug,ordinary event,Stack collapse mistaken for intrusion,H1: break-in; H2: accident; H3: prank,low
confused_route,A suspect claims straight route,map check; review; contradiction appears,GPS shows zig-zag path due to signal bounce,TMP,a detour sign,tech ambiguity,Signal bounce altered path reading,H1: lie; H2: GPS error; H3: confusion,medium
object_fall,Something falls near stairwell,thud; dust; echo,Banister screw found loose,CAU,a dropped coin,simple mechanical failure,Loose screw caused falling piece,H1: pushed item; H2: mechanical; H3: vandalism,low
note_confusion,A handwritten note interpreted as threat,note found; panic; analysis,Curved letters indicate shopping list,ID,a scribbled doodle,harmless intent,Handwriting misinterpreted due to messy lettering,H1: threat; H2: list; H3: prank,low
signal_error,A beep interpreted as tracking device,beep; blinking light; alarm,A low-battery indicator from unrelated device,CAU,a blinking toy,misattribution,Beep from gadget—not surveillance,H1: tracker; H2: battery; H3: toy,low
misplaced_tool,A tool appears missing in workshop,checklist; missing tool; raised voices,It was signed out earlier in log,TMP,a clattering toolbox,inventory oversight,Tool properly borrowed but forgotten,H1: theft; H2: misplacement; H3: paperwork lapse,medium
forced_entry_false,Door looks forced open,splinter; door ajar; concerns rise,Wood rot causing break,CAU,a shaky railing,natural damage,Rot weakened wood not forced entry,H1: break-in; H2: rot; H3: mishandling,medium
mirror_noise,A sound near mirror mistaken for presence,rustle; shiver; quick turn,Wind vibrating the frame,CAU,a loose perfume bottle,environmental cause,Wind caused mirror frame noise,H1: intruder; H2: wind; H3: pet,low
paper_confusion,A stack of documents misplaced,hurried meeting; raised tension; search,A fan blowing open folders,TMP,a pen rolling,wind factor,Wind caused misordering,H1: sabotage; H2: airflow; H3: negligence,low
misplaced_key,A key goes missing during room inspection,checklist; missing item; tension rises,Key found beneath inspection clipboard,TMP,a loose drawer handle,simple oversight,Item slipped under papers unnoticed,H1: theft; H2: misplacement; H3: sabotage,low
fog_misread,A shape appears in early-morning fog,fog; silhouette; startled witness,Fog density data shows shifting layers,ID,a stray dog wandering,optical illusion,Weather created illusion of human figure,H1: prowler; H2: animal; H3: shadow,low
door_echo,A door slams unexpectedly,slam; echo; alarm raised,Wind direction logs show sudden gust,CAU,footprints from earlier shift,environmental force,Wind pressure caused door movement,H1: forced entry; H2: gust; H3: prank,low
package_delay,A package arrives later than claimed,arrival logs; dispute; review,Courier timestamp proves late dispatch,TMP,a mislabeled envelope,timing clarification,Delay due to courier scheduling,H1: tampering; H2: logistics; H3: mix-up,low
shadow_split,A shadow seems to split in two,movement; flicker; guard alerted,Dual-light source explains effect,ID,a broken lamp base,light phenomenon,Two lights created overlapping shadows,H1: two intruders; H2: one person; H3: animal,medium
chair_scrape,A scraping sound suggests intrusion,scrape; pause; investigation,Chair leg marks match old scratches,CAU,a fallen picture frame,mundane noise,Someone brushed chair earlier causing sound,H1: break-in; H2: friction noise; H3: staged distraction,low
coat_misplaced,A coat seems stolen after event,cleanup; missing coat; witness concern,Coat found slipped behind bench,TMP,another coat identical,simple misplacement,Gravity + movement caused coat to fall behind seat,H1: theft; H2: fall; H3: confusion,low
looping_noise,A repeating tapping heard,tap; pattern; alert raised,Loose shutter swinging in breeze,CAU,a metal rod rolling,mechanical cause,Wind rhythmically moved shutter,H1: coded taps; H2: weather; H3: intruder,low
double_flash,A flash seen twice near a corridor,glint; gasp; review,Reflective badge bouncing light,ID,a cyclist’s reflector,reflection artifact,Badge reflected hallway lights twice,H1: signaling; H2: reflection; H3: malfunction,medium
blocked_door,A door appears blocked intentionally,door stuck; mild panic; inspection,Broken hinge pin found,TMP,a crowbar stored nearby,structural failure,Door jammed naturally from loose hinge,H1: sabotage; H2: hinge; H3: misuse,medium
bag_rustle,A rustling bag triggers suspicion,rustle; shifting noise; search,Air vent blowing directly on bag,CAU,a passing janitor,ventilation effect,Vent airflow caused repeated rustling,H1: hidden creature; H2: airflow; H3: tampering,low
light_flicker,Light flickers during heated moment,flicker; gasp; confusion,Condenser failing intermittently,CAU,a dangling wire,electrical issue,Faulty condenser caused flickering,H1: sabotage; H2: power issue; H3: old bulb,low
water_drip,Drip sounds interpreted as movement,drip; echo; tension rises,Pipe condensation noted in logs,CAU,a wet footprint pattern,benign cause,Condensation created rhythmic dripping pattern,H1: presence; H2: water; H3: creature,low
misplaced_clip,A clip from a file is missing,file review; missing clip; concern,Clip found attached to wrong folder,TMP,a bent staple,organization error,Clip moved accidentally while sorting,H1: tampering; H2: mistake; H3: concealment,low
box_shift,A box shifts slightly during meeting,shift; bump; startled group,Table uneven causing tilt,CAU,a notebook sliding off,structural cause,Uneven table caused box to move,H1: hidden force; H2: vibration; H3: prank,low
misheard_name,A name overheard incorrectly,misquote; dispute; tension,Audio review shows different name said,CAU,a cough overlapping speech,communication error,Noise overlapped speech creating misunderstanding,H1: threat; H2: mix-up; H3: miscommunication,low
confused_beep,A faint beep suggests device alert,beep; glance; concern,Microwave timer finishing in nearby room,CAU,a blinking remote,harmless misattribution,Beep from unrelated appliance,H1: bug; H2: appliance; H3: malfunction,low
window_reflect,A figure seen “outside” window,glare; shout; inspection,Reflection from person inside,ID,a bird landing outside,reflection confusion,Interior reflection mistaken for someone outside,H1: outside intruder; H2: reflection; H3: passerby,medium
twin_items,Two identical objects cause confusion,items misplaced; mix-up; mild dispute,One has slight engraving,ID,a discarded wrapper,ownership identification,Engraving clarifies correct owner,H1: theft; H2: mix-up; H3: opportunistic claim,low
rope_creak,A rope creaks loudly,creak; sway; alert,Humidity change tightening fibers,CAU,a ladder leaning oddly,natural tension,Weather caused rope fibers to tighten,H1: climbing attempt; H2: humidity; H3: animal,low
tile_click,A clicking tile sound emerges,click; shift; alert triggered,Loose tile documented previously,TMP,a moving shoe rack,pre-existing issue,Weight shift caused tile response,H1: hidden cellar; H2: loose tile; H3: vibration,medium
mirror_shift,A mirror tilts during argument,tilt; clatter; panic,Previous nail loose,CAU,a gust from open window,hardware issue,Nail gave way causing tilt,H1: disturbance; H2: nail; H3: staged event,low
coat_drop,A coat falls as someone walks by,fall; shuffle; glance exchange,Coat hung on weak hook,TMP,a broom falling behind them,attachment failure,Hook slipped causing fall,H1: signal; H2: hook fail; H3: push,low
mistaken_siren,A faint siren sound causes worry,wail; echo; interruption,Ambulance passing outside,CAU,a squeaky hinge,external noise,Siren unrelated to events inside,H1: security breach; H2: ambulance; H3: prank,low
moving_banner,A banner moves suspiciously,flutter; sudden twist; gasp,Ventilation analysis matches airflow,CAU,a cracked frame,air pressure effect,Airflow caused banner to twist sharply,H1: intruder; H2: vent; H3: vibration,low
overheard_argument,Arguments misinterpreted as plotting,yelling; fragments heard; concern,Full recording shows casual debate,CAU,a slammed door masking context,misinterpretation,Partial hearing caused false impression,H1: conspiracy; H2: debate; H3: situational noise,medium
chair_shadow,A shadow looks like crouching figure,shadow; flick; pause,Chair angled to cast distorted shadow,ID,a dangling cable,optical misread,Chair shape created false silhouette,H1: intruder; H2: shadow; H3: animal,low
paper_slide,Paper slides off table suddenly,slide; rustle; jump scare,Air from door opening,CAU,a cracked binder,air disturbance,Door flow caused slide,H1: hidden force; H2: airflow; H3: prank,low
echo_voice,A faint voice heard in hallway,echo; whisper; pause,Two overlapping conversations echoing,CAU,a rattling vent,acoustic effect,Echo created illusion of whispering,H1: stalker; H2: echo; H3: device,medium
badge_confusion,A lost badge triggers concern,badge missing; search; blame,Badge fell inside vent grate,TMP,a broken clip,simple drop,Clip broke causing badge fall,H1: misuse; H2: accident; H3: concealment,medium
floor_thump,A thump from above,thump; dust; startled look,Heating pipes expanding,CAU,a loose tile fragment,building expansion,Heat caused sudden pipe movement,H1: intruder; H2: expansion; H3: falling item,low
reflection_arc,A curved reflection suggests someone hiding,arc light; shimmer; speculation,Curved metal railing reflecting overhead lamp,ID,a misplaced lamp,lighting artifact,Railing bent reflection around corner,H1: hiding figure; H2: reflection; H3: animal,low
coat_pat,A pat-like sound heard,tap; shuffle; confusion,Coat brushing against chair,CAU,a flickering lamp,mundane cause,Someone passed too close to hanging coat,H1: code knock; H2: coat; H3: pet,low
bottle_pop,A sudden pop startles everyone,pop; hiss; silence,Bottle cap pressure release,CAU,a cracking table leg,gas release,Rising temperature caused cap to release,H1: gunshot; H2: bottle; H3: sabotage,low
