"fallacy_name","surface_form","deep_cause","example","correction_method"
"transfer_equals_presence","Found fiber = suspect was here","Ignores secondary transfer.","Fiber from coworker found.","Evaluate chain-of-transfer."
"uniqueness_assumption","Print looks unique","Overconfidence.","Partial print assumed unique.","Assess ridge quality."
"cause_from_coincidence","Two traces appear together","Assumes causal link.","Grease + ink found.","Explore independent origins."
"negative_evidence_fallacy","Nothing found = no involvement","Absence â‰  absence.","No prints in gloves case.","Consider evidence-destructive factors."
"overweighting_blood","Small blood = major injury","Misinterpreting volume.","Nosebleed misread.","Check droplet edges."
"intention_projection","Pattern looks deliberate","Anthropomorphism.","Vase fallen 'on purpose'.","Determine mechanical plausibility."
"freshness_confusion","Fresh mark = recent event","Environmental influence.","Fresh dust disturbed by airflow.","Check environmental conditions."
"misplaced_certainty","Clear print = recent","Longevity varies.","Old print preserved.","Assess surface age."
"noise_overinterpretation","Smudge = clue","Pattern-seeking.","Cleaning smear misread.","Confirm with secondary evidence."
"context_blindness","Trace = guilt","Ignoring context.","Metal dust on mechanic.","Check occupation."
"temporal_inversion","Sequence guessed wrong","Assumes order.","Glass shards over blood.","Layering check."
"exaggerated_matching","Similar color = match","Weak spectral inference.","Blue fiber matches many clothes.","Use deeper fiber analysis."
"space-assumption","Clutter = struggle","Ignoring lifestyle.","Messy room read as altercation.","Compare baseline state."
"staging-overclaim","Neatness = staged","Over-theorizing.","Clean floor seen as staging.","Check cleaning logs."
"excessive-degradation-claims","Damage = tampering","Ignoring wear.","Old scratch misread.","Evaluate aging pattern."
"chemical-fallacy","Smell = cause","Misinterpretation.","Bleach smell assumed cleaning.","Check ventilation."
"probability-neglect","Rare trace = guilt","Ignoring common sources.","Exotic pollen in shop.","Check visitor logs."
"straight-line-reasoning","Direct cause assumed","Ignores branches.","Footprint assumes direct route.","Consider alternate path."
"hyper-linkage","All traces connected","Overlinking.","Ink + soil linked.","Separate trace origins."
"toolmark-overfit","Mark = one tool only","Toolmark variability.","Scratches assumed specific tool.","Consider tool condition."
"secondary_transfer_blindspot","Fiber found means visit","Secondary transfer ignored.","Fiber from shared bus seat.","Audit transfer chain."
"innocent_cohabitation_transfer","Shared home equals guilt","Household mixing overlooked.","Partner hair on jacket.","Audit transfer chain."
"workspace_carryover","Work grime equals scene","Occupational carry ignored.","Grease from garage on shoes.","Audit transfer chain."
"laundry_crossmix_confusion","Laundry equals contact","Post wash mixing ignored.","Lint from roommate sweater.","Audit transfer chain."
"bag_residue_cascade","Bag dust equals site","Nested transfer missed.","Sand from borrowed backpack.","Audit transfer chain."
"shared_surface_equation","Common table equals contact","High traffic surface ignored.","Print on office kettle.","Audit transfer chain."
"handshake_shadow_transfer","Touch equals presence","Tertiary pass ignored.","Glitter after greeting.","Audit transfer chain."
"prior_scene_carryover","Old scene equals new","Historic transfer missed.","Paint fleck from last site.","Audit transfer chain."
"tourism_trace_confusion","Souvenir dust equals crime","Travel transfer ignored.","Pollen from park on coat.","Audit transfer chain."
"post_hoc_bite","Later trace equals cause","Post hoc error.","Footprint after rain read as cause.","Test alternate causes."
"reverse_cause_bias","Effect explains cause","Reverse inference.","Broken lock explains breakin alone.","Test alternate causes."
"common_cause_oversight","Two effects same cause","Common driver missed.","Soot and heat from heater.","Test alternate causes."
"parallel_event_confusion","Co events mean linked","Confounds ignored.","Party confetti with spill.","Test alternate causes."
"endpoint_causation","Outcome defines origin","Teleology bias.","Ash pattern defines start point.","Test alternate causes."
"chain_snip_fallacy","Missing step ignored","Incomplete chain.","No tool found yet cause assumed.","Test alternate causes."
"single_trigger_fetish","One trigger for many effects","Multi cause denial.","Noise blamed on one device.","Test alternate causes."
"hinge_event_myth","One moment explains all","Oversimplified timeline.","Door slam explains all disarray.","Test alternate causes."
"monotonic_path_assumption","Only straight progression","Nonlinearity ignored.","Stains read along single path.","Test alternate causes."
"clean_space_delusion","Clean equals untouched","False null.","Polished desk seen unused.","Model detection limits."
"sterile_container_assumption","Empty equals unvisited","Null misread.","No crumbs in bin equals no food.","Model detection limits."
"washed_out_conclusion","No DNA equals innocence","Destruction ignored.","Bleached sink read as clean life.","Model detection limits."
"erased_memory_equation","No footage equals nothing","Coverage assumption.","Camera blind spot ignored.","Model detection limits."
"sensor_zero_overread","Zero reading equals none","Sensitivity ignored.","Meter floor read as absence.","Model detection limits."
"small_sample_comfort","Tiny sample equals proof","Sampling error.","One swab defines room.","Model detection limits."
"blind_spot_forensics","Not seen equals not there","Observer limits.","No tracks on carpet path.","Model detection limits."
"missing_file_finality","No file equals no act","Record bias.","No receipt equals no purchase.","Model detection limits."
"failure_to_detect_fallacy","Failure equals inexistence","Capability overreach.","Dog did not alert therefore none.","Model detection limits."
"droplet_drama","Tiny drop big harm","Volume misread.","Pinprick drop seen as attack.","Use morphology and volume."
"smear_equals_struggle","Smear proves fight","Mechanism ignored.","Wipe marks read as fight.","Use morphology and volume."
"color_equals_age","Color fixes timing","Aging oversimplified.","Brown spot called days old.","Use morphology and volume."
"direction_overread","Flow arrow is truth","Surface effects ignored.","Run direction read as chase.","Use morphology and volume."
"dried_crust_certainty","Crust equals time","Drying rate varies.","Crust read as yesterday.","Use morphology and volume."
"single_spot_significance","One spot equals scene","Context missing.","Single drop defines location.","Use morphology and volume."
"splash_scope_exaggeration","Wide splash equals chaos","Dispersion misread.","Spill splash called assault.","Use morphology and volume."
"dilution_blindness","Pale equals minor","Dilution ignored.","Washed stain read as trivial.","Use morphology and volume."
"clot_timing_overclaim","Clot equals exact time","Physiology varies.","Clotted edge timed to minute.","Use morphology and volume."
"purposeful_pattern_projection","Pattern must be planned","Agency projection.","Stacked books read as code.","Check mechanical causes."
"malicious_order_imputation","Order means malice","Teleology.","Arranged tools read as threat.","Check mechanical causes."
"meaning_in_mess","Chaos means message","Apophenia.","Scattered papers read as hint.","Check mechanical causes."
"willful_breakage_assumption","Breakage means intent","Intent projection.","Cracked plate called warning.","Check mechanical causes."
"arranged_items_conspiracy","Placement equals signal","Conspiracy bias.","Lamp angle read as sign.","Check mechanical causes."
"symbolic_placement_fantasy","Symbol inferred from layout","Symbol hunt.","Circle of chairs read ritual.","Check mechanical causes."
"ritual_imagination","Unusual equals ritual","Exotic inference.","Wax drips read as rite.","Check mechanical causes."
"note_equals_intent","Note equals later act","Overreading hints.","Draft list equals plan.","Check mechanical causes."
"self_damage_overlook","Accident missed for intent","Neglect of mishap.","Cut from slip read self harm.","Check mechanical causes."
"patina_paradox","Wear means old","Context ignored.","Shiny knob called new.","Cross check aging factors."
"recent_scrape_misread","Bright scrape is fresh","Oxidation rate varies.","Fresh metal seen as today.","Cross check aging factors."
"rust_rate_myth","Rust clocks the date","Environment varies.","Heavy rust equals months.","Cross check aging factors."
"sunfade_timing_error","Fade fixes timeline","UV exposure varies.","Faded tag dated exactly.","Cross check aging factors."
"moisture_age_confusion","Damp equals recent","Humidity ignored.","Damp carpet dated to hour.","Cross check aging factors."
"dust_settle_misclock","Dust means old","Airflow ignored.","Dust layer sets the day.","Cross check aging factors."
"mildew_age_misattribution","Mildew defines time","Growth rate varies.","Mildew equals last week.","Cross check aging factors."
"freshness_from_smell","Smell means timing","Volatility varies.","Strong odor equals today.","Cross check aging factors."
"brittle_age_assumption","Brittle equals ancient","Material aging complex.","Snap equals years old.","Cross check aging factors."
"partial_print_certainty","Partial equals identity","Overclaim risk.","Half ridge called match.","Verify quality and context."
"latent_persistence_myth","Latent lasts fixed time","Longevity unknowns.","Clear print called recent.","Verify quality and context."
"surface_memory_fallacy","Surface keeps one mark","Surface reuse ignored.","Cutting board shows old mark.","Verify quality and context."
"glove_mark_omission","Gloves leave nothing","Omission bias.","Glove texture ignored.","Verify quality and context."
"tool_variance_blindness","Tool makes one mark","Wear ignored.","Blade nick seen unique.","Verify quality and context."
"wear_pattern_fixation","Wear pattern is signature","Convergence ignored.","Sole wear seen unique.","Verify quality and context."
"composite_print_confusion","Overlap equals one source","Composite misread.","Two prints read as one.","Verify quality and context."
"substrate_bias","All surfaces equal","Substrate effects missed.","Print on cloth read as clear.","Verify quality and context."
"angle_lighting_trick","Light equals feature","Illumination artefact.","Shadow ridge read as line.","Verify quality and context."
"pareidolia_pathway","See image find meaning","Pattern hunger.","Face seen in stain.","Seek independent signals."
"smear_as_signature","Smear has identity","Artefact overread.","Swipe read as signature.","Seek independent signals."
"random_cluster_story","Cluster must mean cause","Clustering bias.","Specks grouped as path.","Seek independent signals."
"threshold_tunnel","Barely above threshold = proof","Cutoff worship.","Weak hit equals case.","Seek independent signals."
"single_pixel_panic","One pixel equals fact","Overzoom.","Hot pixel equals flame.","Seek independent signals."
"filter_artifact_overread","Filter output equals reality","Tool trust.","Sharpen edge read as cut.","Seek independent signals."
"background_hum_as_hint","Background noise is signal","Meaning hunt.","Fan hum read as code.","Seek independent signals."
"shadow_shape_fable","Shadow equals object","Lighting trick.","Shadow knife read as blade.","Seek independent signals."
"overzoom_confusion","Zoom reveals truth alone","Resolution myth.","Blown up frame seen decisive.","Seek independent signals."
"hobbyist_residue_misread","Hobby trace equals crime","Lifestyle ignored.","Gunpowder on reloader hands.","Check lifestyle context."
"seasonal_trace_confusion","Season equals event","Timing shortcut.","Pollen equals spring visit.","Check lifestyle context."
"household_chemicals_alarm","Cleaner equals coverup","Benign uses ignored.","Bleach smell from laundry.","Check lifestyle context."
"craft_worker_bias","Craft dust equals scene","Occupation ignored.","Saw dust on carpenter coat.","Check lifestyle context."
"pet_owner_trace","Pet hair equals contact","Pet spread ignored.","Cat hair on stranger seat.","Check lifestyle context."
"commuter_dust_mix","Transit dust equals site","Journey ignored.","Tunnel dust on shoes.","Check lifestyle context."
"artist_paint_transfer","Paint equals vandalism","Work context missed.","Acrylic on artist hands.","Check lifestyle context."
"gardener_pollen_carry","Pollen equals location","Outdoor carry ignored.","Grass pollen on chef apron.","Check lifestyle context."
"festival_glitter_carry","Glitter equals scene","Event carry ignored.","Glitter after parade day.","Check lifestyle context."
"layer_order_confusion","Layer order fixes time","Disturbance ignored.","Dust over print fixes timing.","Do stratigraphy checks."
"topmost_means_latest","Top equals newest","Rearrangement missed.","Top shard called latest.","Do stratigraphy checks."
"track_overlap_misread","Overlap shows order","Surface dynamics ignored.","Shoe over tire equals after.","Do stratigraphy checks."
"cleanup_sequence_myth","Clean spot implies later","Selective clean missed.","Clean patch equals staging.","Do stratigraphy checks."
"cut_marks_timeline_error","Cut over rust means recent","Material interplay complex.","Cut across rust timed tight.","Do stratigraphy checks."
"deposit_stripe_delusion","Stripe equals stage","Deposition varies.","Spill rings equal phases.","Do stratigraphy checks."
"sediment_swap","Sediment order is fixed","Remobilization ignored.","Mud layer order read final.","Do stratigraphy checks."
"overlap_equals_after","Overlap equals later","Projection error.","Footprint over crumb equals after.","Do stratigraphy checks."
"smear_over_print_assumption","Smear over print sets time","Transfer mechanics complex.","Smear over ridge defines end.","Do stratigraphy checks."
"shade_match_overclaim","Shade equals identity","Color variance wide.","Navy fiber equals uniform.","Use higher resolution tests."
"microtexture_misattribution","Texture equals one source","Convergence ignored.","Similar weave equals same maker.","Use higher resolution tests."
"pattern_lookalike","Pattern equals match","Commonality ignored.","Hatch pattern equals one brand.","Use higher resolution tests."
"serial_model_blindspot","Model equals owner","Market size ignored.","Shoe model equals suspect.","Use higher resolution tests."
"fabric_weave_twin","Weave equals maker","Supply chain ignored.","Twill equals one mill.","Use higher resolution tests."
"household_brand_bias","Brand equals origin","Ubiquity ignored.","Common cleaner equals suspect.","Use higher resolution tests."
"cheap_tool_commonality","Cheap tool equals unique","Prevalence ignored.","Generic pliers mark unique.","Use higher resolution tests."
"adhesive_type_overlap","Glue type equals source","Market overlap large.","Hot glue equals one shop.","Use higher resolution tests."
"perfume_profile_overlap","Scent profile equals person","Non unique blend.","Citrus note equals neighbor.","Use higher resolution tests."
"cctv_angle_illusion","Angle defines size","Perspective trick.","Wide lens makes person larger.","Validate with raw and settings."
"timestamp_drift_confusion","Timestamp is absolute","Clock drift ignored.","Camera time off by minutes.","Validate with raw and settings."
"compression_block_misread","Blocks equal detail","Codec artefact.","Blocky edge read as object.","Validate with raw and settings."
"frame_drop_causation","Drop explains event","Missing frames overread.","Skip equals hidden act.","Validate with raw and settings."
"auto_white_balance_bias","Color equals paint","AWB shift ignored.","Blue cast read as blue wall.","Validate with raw and settings."
"mic_gain_misattribution","Loud equals close","Gain change ignored.","Spike read as shout.","Validate with raw and settings."
"gps_snap_to_road_error","GPS path exact","Snapping ignored.","Path glued to highway.","Validate with raw and settings."
"metadata_infallibility","Metadata never wrong","Trust overreach.","EXIF read as gospel.","Validate with raw and settings."
"file_format_assumption","Format equals origin","Workflow ignored.","PNG equals edit proof.","Validate with raw and settings."
"transfer_equals_presence_v1","Trace implies visit","Transfer chain ignored.","Glitter from handshake seen as visit.","Audit transfer chain."
"transfer_equals_presence_v2","Fiber equals presence","Secondary paths ignored.","Fiber from shared locker seen as visit.","Audit transfer chain."
"transfer_equals_presence_v3","Hair equals entry","Indirect pass ignored.","Hair from bus seat seen as entry.","Audit transfer chain."
"transfer_equals_presence_v4","Dust equals arrival","Nested transfer missed.","Dust from toolbox seen as arrival.","Audit transfer chain."
"uniqueness_assumption_v1","Looks one of a kind","Uniqueness overclaim.","Partial tread read unique.","Compare against population."
"uniqueness_assumption_v2","Distinct equals unique","Overconfidence.","Curved ridge seen unique.","Compare against population."
"uniqueness_assumption_v3","Rare equals single source","Base rate neglect.","Odd tread read one owner.","Compare against population."
"cause_from_coincidence_v1","Together means caused","Causation leap.","Ink near grease equals link.","Test independence."
"cause_from_coincidence_v2","Co presence equals cause","Confounding.","Soil near paint read causal.","Test independence."
"cause_from_coincidence_v3","Side by side equals linked","Post hoc shortcut.","Ash near wire read cause.","Test independence."
"negative_evidence_fallacy_v1","No trace means no act","Null overread.","No prints equals no touch.","Model detection limits."
"negative_evidence_fallacy_v2","Nothing detected means none","Sensitivity gap.","No DNA equals no contact.","Model detection limits."
"negative_evidence_fallacy_v3","Clean equals innocent","Destruction ignored.","Bleached rag equals no event.","Model detection limits."
"negative_evidence_fallacy_v4","Zero reading equals zero event","Instrument floor.","Meter zero equals no leak.","Model detection limits."
"overweighting_blood_v1","Few drops huge event","Volume overread.","Tiny splash equals attack.","Use morphology and volume."
"overweighting_blood_v2","Small smear big story","Mechanism ignored.","Wipe line equals assault.","Use morphology and volume."
"overweighting_blood_v3","Pin spot equals wound depth","Scaling error.","Single fleck equals deep cut.","Use morphology and volume."
"overweighting_blood_v4","Drop count equals severity","Simplistic mapping.","Three drops equals major harm.","Use morphology and volume."
"intention_projection_v1","Looks arranged on purpose","Agency projection.","Broom angle read message.","Check mechanical causes."
"intention_projection_v2","Objects placed with intent","Meaning overlay.","Cup near note read as code.","Check mechanical causes."
"intention_projection_v3","Pattern must be a plan","Teleology.","Tile cracks read symbol.","Check mechanical causes."
"intention_projection_v4","Break looks deliberate","Anthropomorphism.","Shattered glass read warning.","Check mechanical causes."
"freshness_confusion_v1","Fresh look means today","Environment ignored.","Shiny scrape read as new.","Cross check aging factors."
"freshness_confusion_v2","Dry equals old","Over simple aging.","Dry stain equals yesterday.","Cross check aging factors."
"freshness_confusion_v3","Moist equals recent","Humidity ignored.","Damp rug equals today.","Cross check aging factors."
"freshness_confusion_v4","Bright equals new","Oxidation variance.","Bright metal equals just now.","Cross check aging factors."
"misplaced_certainty_v1","Clarity equals recency","Longevity ignored.","Pristine ridge equals today.","Verify quality and context."
"misplaced_certainty_v2","Sharp equals fresh","Persistence blindspot.","Sharp print equals last hour.","Verify quality and context."
"misplaced_certainty_v3","Clean line equals new","Surface effects.","Clear edge equals new act.","Verify quality and context."
"noise_overinterpretation_v1","Blur equals clue","Pareidolia.","Smudge read as arrow.","Seek independent signals."
"noise_overinterpretation_v2","Random mark means path","Pattern hunt.","Streak read as route.","Seek independent signals."
"noise_overinterpretation_v3","Smear equals direction","Wishful mapping.","Wipe read as movement.","Seek independent signals."
"context_blindness_v1","Trace equals bad intent","Context vacuum.","Metal dust on machinist read as guilt.","Check lifestyle context."
"context_blindness_v2","Residue equals suspect","Occupation ignored.","Paint on decorator read as link.","Check lifestyle context."
"context_blindness_v3","Substance equals scene","Benign sources missed.","Flour on baker read as scene.","Check lifestyle context."
"context_blindness_v4","Equipment dust equals guilt","Work overlap.","Graphite on artist read as link.","Check lifestyle context."
"temporal_inversion_v1","Order guessed from look","Sequence leap.","Footprint over crumb equals after.","Do stratigraphy checks."
"temporal_inversion_v2","Later layer assumed top","Disturbance ignored.","Dust on shard equals latest.","Do stratigraphy checks."
"temporal_inversion_v3","Earlier trace read last","Projection error.","Old smear read final.","Do stratigraphy checks."
"temporal_inversion_v4","Visual order equals time","Heuristic misuse.","Overprint read as later.","Do stratigraphy checks."
"exaggerated_matching_v1","Similar shade equals match","Low specificity.","Teal fiber equals same shirt.","Use higher resolution tests."
"exaggerated_matching_v2","Close hue equals identity","Spectral shortcut.","Wine red equals same coat.","Use higher resolution tests."
"exaggerated_matching_v3","Look alike equals same","Commonality ignored.","Black fiber equals uniform.","Use higher resolution tests."
"exaggerated_matching_v4","Near color equals match","Colour bias.","Olive thread equals same pants.","Use higher resolution tests."
"space-assumption_v1","Mess equals fight","Lifestyle ignored.","Boxes toppled seen as brawl.","Compare baseline state."
"space-assumption_v2","Crowded equals chaos","Baseline unknown.","Cluttered desk read struggle.","Compare baseline state."
"space-assumption_v3","Untidy equals event","Attribution error.","Laundry pile read altercation.","Compare baseline state."
"space-assumption_v4","Minimal order equals staging","Overread.","Sparse room read fake scene.","Compare baseline state."
"staging-overclaim_v1","Too tidy means staged","Over inference.","Cleared counter equals plot.","Check cleaning logs."
"staging-overclaim_v2","Order equals deception","Narrative hunger.","Straight chairs read fake.","Check cleaning logs."
"staging-overclaim_v3","Neat equals planted","Suspicion bias.","Aligned books read set up.","Check cleaning logs."
"excessive-degradation-claims_v1","Scuff must be sabotage","Wear overlooked.","Old nick read as tamper.","Evaluate aging pattern."
"excessive-degradation-claims_v2","Damage equals coverup","Baseline unknown.","Loose hinge read forced.","Evaluate aging pattern."
"excessive-degradation-claims_v3","Wear equals recent act","Aging misread.","Fray read as last night.","Evaluate aging pattern."
"chemical-fallacy_v1","Odor equals action","Scent misread.","Solvent smell equals cleaning.","Check ventilation."
"chemical-fallacy_v2","Smell equals agent","Source confusion.","Bleach odor equals bleach use.","Check ventilation."
"chemical-fallacy_v3","Scent equals cause","Attribution leap.","Fuel smell equals arson.","Check ventilation."
"chemical-fallacy_v4","Aroma equals timing","Volatility ignored.","Sharp smell equals today.","Check ventilation."
"probability-neglect_v1","Rare trace equals culprit","Base rate ignored.","Exotic dust equals suspect.","Check base rates."
"probability-neglect_v2","Uncommon equals incriminating","Population blindspot.","Odd fiber equals guilt.","Check base rates."
"probability-neglect_v3","Low chance equals proof","Math misuse.","Rare pollen equals link.","Check base rates."
"probability-neglect_v4","One in million equals done","Fallacy of odds.","Odd match equals certainty.","Check base rates."
"straight-line-reasoning_v1","Shortest path assumed","Branching ignored.","Tracks read as direct route.","Consider alternate path."
"straight-line-reasoning_v2","Direct line narrative","Simplicity bias.","Spill to door equals dash.","Consider alternate path."
"straight-line-reasoning_v3","No detours considered","Path fixation.","Scuffs link in straight chain.","Consider alternate path."
"hyper-linkage_v1","Everything ties together","Overlinking bias.","Paint and soil tied as one chain.","Separate trace origins."
"hyper-linkage_v2","All traces same story","Grand narrative.","Ink and ash fused in tale.","Separate trace origins."
"hyper-linkage_v3","Web explains all","Conspiracy pull.","Every mark woven together.","Separate trace origins."
"hyper-linkage_v4","Chain without breaks","Continuity myth.","No independent origins allowed.","Separate trace origins."
"toolmark-overfit_v1","Mark fits single tool","Variability ignored.","Striation read as single blade.","Consider tool condition."
"toolmark-overfit_v2","Exact groove equals one tool","Overfit risk.","Groove spacing read unique.","Consider tool condition."
"toolmark-overfit_v3","Repeat mark equals one maker","Wear dynamics missed.","Scored line read one cutter.","Consider tool condition."