"scenario_type","claimed_time","required_time","contradiction_marker","likely_explanation","validation_prompt"
"run_between_rooms","10s","25s","Impossible speed","Misremembered duration.","Could you restate the timeline?"
"retrieve_items","30s","90s","Too many actions","Compressed memory.","What exactly did you do first?"
"walk_down_hall","15s","40s","Too fast","Jogging occurred.","Were you hurrying?"
"complete_call","1min","3min","Call logs mismatch","Clock drift.","What device did you check?"
"clean_spill","20s","60s","Insufficient time","Oversight in sequence.","Did you use cloth or tissue?"
"open_locked_door","5s","20s","Lock mechanism mismatch","Door was already unlocked.","Who last used the door?"
"prepare_coffee","45s","120s","Process incomplete","Premade batch.","Was coffee already prepared?"
"change_clothes","1min","3min","Not feasible","Clothes partially changed.","Which items did you change?"
"exit_building","30s","75s","Distance mismatch","Shortcut taken.","Which route did you use?"
"organize_documents","20s","90s","Too rapid","Pre-sorted documents.","Were they already stacked?"
"wash_hands","10s","30s","Duration mismatch","Very quick rinse.","Did you use soap?"
"search_drawer","5s","25s","Too few seconds","Drawer stuck.","Was drawer jammed?"
"unlock_phone","2s","8s","Too fast","Biometrics misread.","Did it unlock instantly?"
"climb_stairs","20s","45s","Speed mismatch","Running upstairs.","Were you rushing?"
"write_note","10s","30s","Not enough writing time","Pre-written note.","Was note partially done?"
"wipe_surface","5s","20s","Insufficient coverage","Small wipe only.","Which cloth did you use?"
"carry_box_room","15s","40s","Torque mismatch","Box lighter than reported.","What was inside?"
"read_message","3s","10s","Too fast comprehension","Previewed earlier.","Had you read it before?"
"lock_window","2s","10s","Mechanism mismatch","Window left ajar.","Was latch stuck?"
"cross_parking_lot","20s","60s","Distance mismatch","Vehicle closer.","Where was your car parked?"
"turn_off_stove","4s","15s","Button distance mismatch","Already close to stove.","Were you beside it already?"
"wash_dish","12s","45s","Insufficient scrubbing time","Only rinsed.","Did you scrub or rinse?"
"tie_shoelaces","8s","25s","Speed mismatch","Loose lacing.","Did you double-knot?"
"find_remote","6s","20s","Too fast search","Remote visible on surface.","Where did you see it first?"
"pack_backpack","20s","75s","Too many items","Half-packed earlier.","Was anything already inside?"
"place_call","3s","12s","Dialing mismatch","Voice assistant used.","Did you use quick dial?"
"open_safe","10s","35s","Mechanism mismatch","Incorrect combination claim.","How many digits did you enter?"
"move_chair","3s","10s","Force mismatch","Chair already angled.","Was it partly moved?"
"scan_document","7s","25s","Device warm-up mismatch","Scanner pre-on.","Was device already active?"
"boil_water","15s","60s","Thermal mismatch","Water preheated.","Was kettle warm?"
"send_email","5s","20s","Typing mismatch","Template reused.","Did you paste text?"
"put_on_jacket","4s","15s","Too fast dressing","Sleeves halfway in.","Was jacket unzipped?"
"unlock_car","2s","10s","Remote mismatch","Key fob pre-pressed.","Was it already unlocked?"
"carry_groceries","18s","50s","Load mismatch","Fewer bags.","How many bags?"
"find_keys","6s","25s","Search depth mismatch","Keys visible.","Where were they placed?"
"open_garage_door","5s","20s","Mechanism mismatch","Automatic opener used.","Manual or remote?"
"close_blinds","4s","15s","Coverage mismatch","Blinds half-lowered.","Were they already partly down?"
"water_plants","15s","45s","Coverage mismatch","Only watered one pot.","Which plants?"
"start_car","3s","12s","Ignition mismatch","Engine warm.","Did you start remotely?"
"carry_laundry","20s","55s","Weight mismatch","Basket half-empty.","How full was it?"
"fold_clothes","30s","90s","Process mismatch","Folded fewer items.","How many pieces?"
"brush_teeth","12s","45s","Too short duration","Quick rinse.","Did you brush fully?"
"apply_makeup","25s","75s","Detail mismatch","Minimal application.","Which steps did you skip?"
"write_email","8s","30s","Typing mismatch","Short response.","Did you write a full message?"
"pour_drink","3s","12s","Volume mismatch","Small pour.","How much did you pour?"
"start_computer","5s","20s","Boot mismatch","Sleep mode.","Was it already on?"
"restart_router","10s","45s","Reboot mismatch","Button not held long enough.","Did lights blink?"
"unlock_bike","4s","15s","Lock mismatch","Key pre-inserted.","Was key already in?"
"search_backpack","5s","25s","Too shallow search","Item on top.","Was backpack empty?"
"send_text","3s","10s","Typing mismatch","Preset quick reply.","Which reply did you choose?"
"put_on_hat","2s","8s","Adjustment mismatch","Loose fit.","Did you adjust?"
"open_mailbox","3s","12s","Key mismatch","Mailbox unlocked.","Was it already open?"
"walk_to_mailbox","10s","25s","Distance mismatch","Mailbox closer.","Where is it located?"
"write_list","12s","35s","Not enough items","List partly written.","Was list started earlier?"
"open_fridge","2s","8s","Seal mismatch","Seal weak.","Did it open easily?"
"grab_snack","4s","15s","Search mismatch","Snack visible.","Was it on the front shelf?"
"fill_water_bottle","8s","25s","Flow mismatch","Bottle partially filled.","How full?"
"place_jacket","4s","15s","Hanger mismatch","Threw jacket lightly.","Did it slip?"
"open_umbrella","3s","10s","Mechanism mismatch","Umbrella semi-open.","Was latch stuck?"
"cross_street","12s","30s","Speed mismatch","Light already green.","Was traffic light green?"
"check_weather","3s","10s","App mismatch","Widget previewed.","Did you check earlier?"
"open_drawer","2s","8s","Stickiness mismatch","Drawer loose.","Was it jammed?"
"close_drawer","2s","8s","Alignment mismatch","Half-closed.","Did it latch?"
"pour_cereal","5s","15s","Volume mismatch","Small serving.","How much cereal?"
"tie_apron","6s","20s","Knot mismatch","Loose tie.","Did you double knot?"
"make_bed","20s","60s","Coverage mismatch","Minimal straightening.","Did you tuck sheets?"
"hang_towel","3s","12s","Adjustment mismatch","Towel draped.","Did you fold it?"
"pick_up_towel","2s","8s","Reach mismatch","Towel on chair.","Where was it placed?"
"close_window","3s","12s","Latch mismatch","Window ajar.","Was latch sticky?"
"shut_door","2s","10s","Distance mismatch","Door partly closed.","Was it already moving?"
"open_curtains","4s","15s","Coverage mismatch","Curtains half-drawn.","Were they open slightly?"
"close_curtains","4s","15s","Coverage mismatch","Partial close.","Did they snag?"
"retrieve_pen","3s","12s","Search mismatch","Pen visible.","Where was it?"
"write_signature","6s","20s","Precision mismatch","Short scribble.","Did you sign fully?"
"flip_light_switch","1s","5s","Reach mismatch","Already near switch.","Were you next to it?"
"adjust_thermostat","5s","15s","Menu mismatch","Preset used.","Which setting?"
"pick_up_wallet","3s","12s","Search mismatch","Wallet in pocket.","Where did you check?"
"carry_trash","15s","45s","Weight mismatch","Small bag.","How heavy?"
"take_out_trash","20s","60s","Distance mismatch","Bin closer.","Where is bin located?"
"brush_hair","10s","30s","Coverage mismatch","Quick brush.","Did you detangle fully?"
"vacuum_floor","30s","90s","Area mismatch","Small patch cleaned.","Which area?"
"open_cupboard","2s","8s","Hinge mismatch","Cupboard loose.","Did it stick?"
"grab_plate","3s","12s","Stack mismatch","Plate on top.","Which plate?"
"set_table","20s","60s","Items mismatch","Minimal setup.","What did you place?"
"wipe_table","5s","20s","Coverage mismatch","Small wipe.","Did you clean fully?"
"move_cushion","3s","10s","Alignment mismatch","Cushion already shifted.","Did you adjust earlier?"
"check_phone_battery","2s","8s","Unlock mismatch","Widget glance.","Did you unlock?"
"place_phone_charge","3s","12s","Cable mismatch","Charger already connected.","Was cable plugged?"
"fold_blanket","10s","40s","Coverage mismatch","Quick fold.","Did you fold fully?"
"adjust_pillow","3s","10s","Shape mismatch","Small pat.","How much did you adjust?"
"turn_on_tv","4s","15s","Remote mismatch","TV on standby.","Was it sleeping?"
"switch_channel","2s","10s","Menu mismatch","Last channel menu open.","Did you use arrows?"
"mute_tv","1s","5s","Reach mismatch","Remote in hand.","Was remote close?"
"power_off_tv","2s","8s","Standby mismatch","TV already dim.","Was it on?"
"open_book","2s","8s","Placement mismatch","Book partly open.","Was bookmark inserted?"
"read_paragraph","8s","25s","Comprehension mismatch","Skim reading.","Did you skim?"
"locate_page","3s","12s","Search mismatch","Bookmark used.","Was bookmark inside?"
"shuffle_cards","15s","45s","Process mismatch","Quick mix.","Did you fully shuffle?"
"deal_cards","10s","30s","Count mismatch","Fewer cards dealt.","How many?"
"stack_books","12s","35s","Height mismatch","Small stack.","How many books?"
"carry_books","15s","45s","Weight mismatch","Few books.","How many carried?"
"open_window_shade","3s","10s","Mechanism mismatch","Already raised.","Was shade half-open?"
"close_window_shade","4s","15s","Coverage mismatch","Partial close.","Did cord stick?"
"grab_jacket","3s","10s","Search mismatch","Jacket on chair.","Where was it?"
"put_on_gloves","5s","20s","Fit mismatch","Loose gloves.","Did you adjust?"
"zip_jacket","3s","12s","Mechanism mismatch","Zipper halfway.","Was zipper halfway up?"
"unzip_jacket","2s","10s","Mechanism mismatch","Zipper loose.","Did it glide easily?"
"lock_door","3s","12s","Key mismatch","Door pre-locked.","Did it click?"
"unlock_door","3s","12s","Key mismatch","Key turned halfway.","Was lock stiff?"
"hang_keys","2s","8s","Placement mismatch","Hook nearby.","Where did you hang them?"
"grab_keys","2s","8s","Search mismatch","Keys visible.","Were they on table?"
"walk_to_car","15s","40s","Distance mismatch","Parked closer.","Where exactly?"
"open_car_door","3s","12s","Handle mismatch","Door ajar.","Was it fully closed?"
"sit_in_car","4s","15s","Movement mismatch","Seat already forward.","Did you adjust?"
"adjust_seat","6s","20s","Mechanism mismatch","Preset used.","Which preset?"
"check_mirror","4s","15s","Coverage mismatch","Minor adjust.","Was mirror misaligned?"
"start_engine","3s","10s","Ignition mismatch","Push-button start.","Did you use button?"
"turn_on_radio","2s","8s","Menu mismatch","Radio already on.","Was volume muted?"
"switch_station","3s","12s","Search mismatch","Preset used.","Which preset?"
"fasten_seatbelt","4s","15s","Routing mismatch","Belt already extended.","Was belt loose?"
"drive_off","5s","20s","Sequence mismatch","Engine pre-running.","Was car idling?"
"park_car","10s","30s","Alignment mismatch","Wide space.","Where did you park?"
"lock_car_door","2s","10s","Fob mismatch","Auto-lock engaged.","Did auto-lock activate?"
"walk_to_store","20s","60s","Distance mismatch","Store closer.","Which entrance?"
"grab_basket","3s","12s","Placement mismatch","Basket near door.","Where was it?"
"choose_fruit","12s","45s","Selection mismatch","Pre-chosen type.","Did you know which fruit?"
"select_vegetables","15s","50s","Quantity mismatch","Few items.","Which vegetables?"
"pick_up_milk","4s","15s","Search mismatch","Milk in front row.","Which shelf?"
"pay_items","20s","60s","Queue mismatch","Short line.","How many people before you?"
"exit_store","10s","30s","Distance mismatch","Near exit.","Where were you standing?"
"walk_home","30s","90s","Distance mismatch","Shorter path.","Which route?"
"open_gate","3s","12s","Mechanism mismatch","Gate unlatched.","Was it locked?"
"enter_home","4s","15s","Sequence mismatch","Door open.","Did someone open for you?"
"remove_shoes","6s","20s","Motion mismatch","Slip-offs.","What type of shoes?"
"place_shoes","4s","15s","Placement mismatch","Shoes near rack.","Where did you put them?"
"hang_coat","5s","20s","Height mismatch","Hook low.","Which hook?"
"unpack_bags","20s","60s","Items mismatch","Few groceries.","What did you buy?"
"store_food","15s","45s","Quantity mismatch","Minimal items.","Which items?"
"boil_pasta","20s","90s","Thermal mismatch","Hot stove preheated.","Was burner on?"
"drain_pasta","6s","20s","Process mismatch","Partially cooked.","How soft was it?"
"heat_soup","12s","45s","Temperature mismatch","Soup lukewarm.","Was it refrigerated?"
"stir_soup","5s","20s","Coverage mismatch","One stir only.","How many times?"
"slice_bread","4s","15s","Quantity mismatch","One slice.","How many slices?"
"toast_bread","10s","45s","Heating mismatch","Preheated toaster.","Was toaster warm?"
"spread_butter","4s","12s","Coverage mismatch","Thin spread.","Did butter melt?"
"wash_pan","15s","45s","Scrub mismatch","Soaked earlier.","Did you soak?"
"dry_pan","4s","15s","Coverage mismatch","Air-dried partly.","Did you towel dry?"
"set_alarm","3s","10s","Menu mismatch","Preset used.","Which preset?"
"turn_off_alarm","2s","8s","Reach mismatch","Phone in hand.","Where was it?"
"hit_snooze","1s","5s","Menu mismatch","Button pre-highlighted.","Did screen remain on?"
"make_smoothie","20s","60s","Prep mismatch","Pre-cut fruit.","Was fruit ready?"
"pour_smoothie","3s","12s","Volume mismatch","Small amount.","How much?"
"clean_blender","10s","40s","Coverage mismatch","Quick rinse.","Did you disassemble?"
"put_away_blender","4s","15s","Placement mismatch","Counter nearby.","Where did you place it?"
"check_calendar","3s","10s","App mismatch","Widget preview.","Did you open app?"
"write_schedule","12s","40s","Detail mismatch","Short note.","What did you add?"
"search_pocket","3s","12s","Search mismatch","Pocket empty.","Which pocket?"
"find_receipt","4s","15s","Filing mismatch","On top.","Where was receipt?"
"toss_receipt","2s","8s","Distance mismatch","Bin next to you.","Where is bin?"
"sweep_floor","20s","60s","Coverage mismatch","Small debris.","Which area?"
"empty_vacuum_bin","5s","20s","Capacity mismatch","Bin half-full.","When last emptied?"
"refill_soap","6s","20s","Bottle mismatch","Half-full bottle.","How empty was it?"
"tidy_desk","12s","40s","Clutter mismatch","Few items.","What did you reorganize?"
"shred_paper","5s","20s","Machine mismatch","Pre-fed.","Did shredder run already?"
"water_garden","25s","75s","Coverage mismatch","Small section.","Which plants?"
"walk_dog","30s","90s","Distance mismatch","Short loop.","Where did you go?"
"feed_pet","10s","30s","Portion mismatch","Small portion.","How much food?"
"clean_pet_bowl","4s","12s","Coverage mismatch","Quick rinse.","Soap used?"
"check_mail","6s","20s","Search mismatch","Few envelopes.","How many?"
"sort_mail","10s","35s","Quantity mismatch","Small batch.","How many letters?"
"open_letter","3s","12s","Envelope mismatch","Already torn.","Was it opened earlier?"
"write_reply","15s","45s","Content mismatch","Short reply.","What did you write?"
"post_letter","10s","40s","Distance mismatch","Box nearby.","Which mailbox?"
"walk_uphill","20s","60s","Effort mismatch","Gentle incline.","How steep?"
"descend_stairs","10s","30s","Speed mismatch","Quick descent.","Were you rushing?"
"rinse_fruit","5s","20s","Coverage mismatch","Quick rinse.","Did you scrub?"
"peel_fruit","6s","20s","Tool mismatch","Soft peel.","What tool used?"
"cut_fruit","10s","30s","Quantity mismatch","Few slices.","How many?"
"store_leftovers","8s","25s","Container mismatch","Small amount.","What portion?"
"heat_leftovers","15s","45s","Temperature mismatch","Warm leftovers.","Were they refrigerated?"
"wash_cutting_board","6s","20s","Coverage mismatch","Quick rinse.","Did you scrub?"
"dry_cutting_board","4s","15s","Air-dry mismatch","Already dry.","Was it moist?"
"prepare_sandwich","20s","60s","Ingredient mismatch","Minimal ingredients.","Which ingredients?"
"wrap_sandwich","6s","20s","Coverage mismatch","Loose wrap.","Did you seal?"
"clean_counter","8s","30s","Coverage mismatch","Small wipe.","Which cloth?"
"put_away_groceries","15s","45s","Quantity mismatch","Few items.","Which items?"
"check_ingredient","4s","15s","Search mismatch","Ingredient visible.","Where was it?"
"boil_egg","20s","90s","Thermal mismatch","Warm water.","Did you preheat?"
"crack_egg","2s","8s","Shell mismatch","Soft crack.","How fresh?"
"whisk_egg","6s","20s","Coverage mismatch","Light whisk.","How long?"
"cook_egg","15s","45s","Heat mismatch","Low heat.","What setting?"
"plate_egg","3s","12s","Placement mismatch","Plate nearby.","Where was plate?"
"write_reminder","6s","20s","Length mismatch","Short note.","What did you write?"
"post_reminder","3s","12s","Placement mismatch","Board next to you.","Where did you post it?"
"sort_recycling","12s","40s","Quantity mismatch","Small batch.","How many items?"
"rinse_jar","5s","20s","Coverage mismatch","Quick rinse.","Soap used?"
"dry_jar","3s","12s","Air-dry mismatch","Already dry.","Was it wet?"
"stack_plates","6s","20s","Count mismatch","Few plates.","How many?"
"wipe_spill","4s","15s","Coverage mismatch","Small puddle.","How big?"
"mop_floor","20s","60s","Area mismatch","Small patch.","Which area?"
"squeegee_window","10s","35s","Coverage mismatch","Only corners.","Which section?"
"clean_mirror","8s","30s","Coverage mismatch","Small wipe.","Which cloth?"
"brush_coat","10s","35s","Coverage mismatch","Quick brush.","Did you brush fully?"
"clean_shoes","12s","40s","Coverage mismatch","Light clean.","Which product?"
"pack_lunch","15s","45s","Ingredient mismatch","Few items.","What did you pack?"
"heat_pan","5s","20s","Thermal mismatch","Warm stove.","Was burner on?"
"fry_egg","10s","30s","Heat mismatch","Medium-low heat.","What setting?"
"toast_sandwich","10s","40s","Heating mismatch","Warm pan.","Was pan hot?"
"remove_sandwich","3s","12s","Grip mismatch","Used spatula.","Which tool?"
"cut_sandwich","4s","15s","Precision mismatch","Diagonal cut only.","How many slices?"
"clean_spatula","4s","15s","Coverage mismatch","Quick rinse.","Did you scrub?"
"retrieve_spatula","3s","12s","Placement mismatch","On counter.","Where found?"
"open_storage_box","3s","12s","Latch mismatch","Loose latch.","Hard to open?"
"sort_screws","12s","40s","Quantity mismatch","Few screws.","How many?"
"clean_workbench","15s","45s","Coverage mismatch","Small area.","Where did you clean?"
"turn_on_fan","2s","10s","Reach mismatch","Remote nearby.","Where positioned?"
"adjust_fan_speed","2s","10s","Menu mismatch","Preset speed.","Which level?"
"turn_off_fan","2s","10s","Standby mismatch","Fan slowing already.","Was it spinning?"
"wipe_remote","4s","15s","Coverage mismatch","Small wipe.","Which cloth?"
"plug_charger","3s","12s","Reach mismatch","Socket close.","Which socket?"
"unplug_charger","2s","10s","Grip mismatch","Loose plug.","Was it tight?"
"clean_phone_screen","5s","20s","Coverage mismatch","Quick wipe.","Which cloth?"
"open_laptop","3s","12s","Hinge mismatch","Laptop half-open.","Was lid ajar?"
"log_in","5s","20s","Typing mismatch","Saved credentials.","Is autofill on?"
"open_browser","3s","12s","Load mismatch","Pinned tab.","Which page?"
"close_browser","2s","10s","Tab mismatch","Only one tab.","How many tabs?"
"shut_down_laptop","4s","15s","Menu mismatch","Sleep mode.","Did you reboot?"